[2024-10-26T09:11:11.843+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-10-26T09:11:12.004+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: crypto_price_automation.stream_crypto_prices_on_change scheduled__2024-10-25T00:00:00+00:00 [queued]>
[2024-10-26T09:11:12.057+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: crypto_price_automation.stream_crypto_prices_on_change scheduled__2024-10-25T00:00:00+00:00 [queued]>
[2024-10-26T09:11:12.058+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-10-26T09:11:12.138+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): stream_crypto_prices_on_change> on 2024-10-25 00:00:00+00:00
[2024-10-26T09:11:12.185+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'crypto_price_automation', 'stream_crypto_prices_on_change', 'scheduled__2024-10-25T00:00:00+00:00', '--job-id', '178', '--raw', '--subdir', 'DAGS_FOLDER/kafka_stream.py', '--cfg-path', '/tmp/tmpglkpxqzl']
[2024-10-26T09:11:12.190+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=232) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2024-10-26T09:11:12.192+0000] {standard_task_runner.py:91} INFO - Job 178: Subtask stream_crypto_prices_on_change
[2024-10-26T09:11:12.193+0000] {standard_task_runner.py:64} INFO - Started process 233 to run task
[2024-10-26T09:11:12.512+0000] {task_command.py:426} INFO - Running <TaskInstance: crypto_price_automation.stream_crypto_prices_on_change scheduled__2024-10-25T00:00:00+00:00 [running]> on host 99d2c9a4153a
[2024-10-26T09:11:12.871+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='admin' AIRFLOW_CTX_DAG_ID='crypto_price_automation' AIRFLOW_CTX_TASK_ID='stream_crypto_prices_on_change' AIRFLOW_CTX_EXECUTION_DATE='2024-10-25T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-10-25T00:00:00+00:00'
[2024-10-26T09:11:12.873+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-10-26T09:11:12.925+0000] {conn.py:362} INFO - <BrokerConnection node_id=bootstrap-0 host=kafka:9093 <connecting> [IPv4 ('172.21.0.8', 9093)]>: connecting to kafka:9093 [('172.21.0.8', 9093) IPv4]
[2024-10-26T09:11:12.928+0000] {conn.py:957} INFO - Probing node bootstrap-0 broker version
[2024-10-26T09:11:12.931+0000] {conn.py:393} INFO - <BrokerConnection node_id=bootstrap-0 host=kafka:9093 <connecting> [IPv4 ('172.21.0.8', 9093)]>: Connection complete.
[2024-10-26T09:11:13.077+0000] {conn.py:1019} INFO - Broker version identified as 2.6.0
[2024-10-26T09:11:13.078+0000] {conn.py:1020} INFO - Set configuration api_version=(2, 6, 0) to skip auto check_version requests on startup
[2024-10-26T09:11:27.795+0000] {kafka_stream.py:75} INFO - Data sent to Kafka: {'symbol': 'BTCUSDT', 'date': '2024-10-26', 'open': 66698.32, 'high': 67240.02, 'low': 66439.9, 'close': 67098.01, 'volume': 5605.26319} on topic 'crypto_prices'
[2024-10-26T09:11:27.798+0000] {kafka_stream.py:75} INFO - Data sent to Kafka: {'symbol': 'ETHUSDT', 'date': '2024-10-26', 'open': 2440.63, 'high': 2479.7, 'low': 2430.12, 'close': 2471.8, 'volume': 106723.108} on topic 'crypto_prices'
[2024-10-26T09:11:27.799+0000] {kafka_stream.py:75} INFO - Data sent to Kafka: {'symbol': 'BNBUSDT', 'date': '2024-10-26', 'open': 575.3, 'high': 584.0, 'low': 571.6, 'close': 583.1, 'volume': 67083.566} on topic 'crypto_prices'
[2024-10-26T09:11:27.801+0000] {kafka_stream.py:75} INFO - Data sent to Kafka: {'symbol': 'LTCUSDT', 'date': '2024-10-26', 'open': 68.83, 'high': 69.72, 'low': 68.3, 'close': 69.1, 'volume': 124729.319} on topic 'crypto_prices'
[2024-10-26T09:11:27.803+0000] {kafka_stream.py:75} INFO - Data sent to Kafka: {'symbol': 'XRPUSDT', 'date': '2024-10-26', 'open': 0.5022, 'high': 0.5154, 'low': 0.4989, 'close': 0.5134, 'volume': 70462757.0} on topic 'crypto_prices'
[2024-10-26T09:11:27.807+0000] {kafka_stream.py:75} INFO - Data sent to Kafka: {'symbol': 'DOGEUSDT', 'date': '2024-10-26', 'open': 0.13161, 'high': 0.13508, 'low': 0.13071, 'close': 0.13464, 'volume': 340983747.0} on topic 'crypto_prices'
[2024-10-26T09:11:27.808+0000] {kafka_stream.py:75} INFO - Data sent to Kafka: {'symbol': 'ADAUSDT', 'date': '2024-10-26', 'open': 0.326, 'high': 0.3338, 'low': 0.3206, 'close': 0.3302, 'volume': 43436083.1} on topic 'crypto_prices'
[2024-10-26T09:11:27.809+0000] {kafka_stream.py:75} INFO - Data sent to Kafka: {'symbol': 'SOLUSDT', 'date': '2024-10-26', 'open': 164.91, 'high': 169.18, 'low': 162.43, 'close': 168.54, 'volume': 1459177.556} on topic 'crypto_prices'
[2024-10-26T09:11:27.811+0000] {kafka_stream.py:75} INFO - Data sent to Kafka: {'symbol': 'DOTUSDT', 'date': '2024-10-26', 'open': 3.996, 'high': 4.061, 'low': 3.943, 'close': 4.04, 'volume': 1392325.56} on topic 'crypto_prices'
[2024-10-26T09:11:27.812+0000] {kafka_stream.py:75} INFO - Data sent to Kafka: {'symbol': 'MATICUSDT', 'date': '2024-10-26', 'open': 0.3821, 'high': 0.3826, 'low': 0.3774, 'close': 0.3794, 'volume': 4452579.6} on topic 'crypto_prices'
[2024-10-26T09:11:27.821+0000] {kafka_stream.py:75} INFO - Data sent to Kafka: {'symbol': 'AVAXUSDT', 'date': '2024-10-26', 'open': 24.94, 'high': 25.6, 'low': 24.56, 'close': 25.57, 'volume': 591364.55} on topic 'crypto_prices'
[2024-10-26T09:11:27.828+0000] {kafka_stream.py:75} INFO - Data sent to Kafka: {'symbol': 'SHIBUSDT', 'date': '2024-10-26', 'open': 1.656e-05, 'high': 1.698e-05, 'low': 1.637e-05, 'close': 1.692e-05, 'volume': 942088294405.0} on topic 'crypto_prices'
[2024-10-26T09:11:27.832+0000] {kafka_stream.py:75} INFO - Data sent to Kafka: {'symbol': 'ATOMUSDT', 'date': '2024-10-26', 'open': 4.414, 'high': 4.512, 'low': 4.341, 'close': 4.445, 'volume': 714186.99} on topic 'crypto_prices'
